,party_rk,class
0,61243,20.0
1,66535,8.0
2,83721,33.0
3,88238,12.0
4,57179,5.0
5,66793,29.0
6,93895,12.0
7,24352,100.0
8,812,
9,82426,53.0
10,85512,27.0
11,94343,7.0
12,64918,27.0
13,89849,29.0
14,12883,68.0
15,23830,102.0
16,31163,9.0
17,66837,8.0
18,4486,100.0
19,17640,27.0
20,67245,29.0
21,86137,24.0
22,6449,68.0
23,30456,16.0
24,43510,27.0
25,88840,32.0
26,39302,9.0
27,10965,85.0
28,84514,12.0
29,20137,100.0
30,82271,7.0
31,9653,114.0
32,29454,90.0
33,17261,7.0
34,66305,5.0
35,83296,100.0
36,84733,27.0
37,47055,5.0
38,58469,8.0
39,66960,12.0
40,71861,25.0
41,62992,29.0
42,86675,85.0
43,5885,31.0
44,13671,85.0
45,23141,13.0
46,59316,32.0
47,85072,28.0
48,1687,89.0
49,7994,100.0
50,16543,9.0
51,52445,12.0
52,27098,13.0
53,61708,23.0
54,63597,35.0
55,37350,124.0
56,42620,32.0
57,57382,24.0
58,60752,23.0
59,72784,5.0
60,18940,
61,59327,14.0
62,73166,10.0
63,15463,85.0
64,67901,31.0
65,25198,100.0
66,60895,46.0
67,80763,48.0
68,1651,90.0
69,57045,31.0
70,62809,12.0
71,23351,29.0
72,83533,7.0
73,88142,4.0
74,5612,85.0
75,48180,27.0
76,63809,28.0
77,68517,32.0
78,72444,31.0
79,27578,32.0
80,66597,1.0
81,10501,11.0
82,30543,35.0
83,67328,7.0
84,87555,27.0
85,6391,100.0
86,71044,24.0
87,37235,9.0
88,2901,18.0
89,5194,104.0
90,18568,32.0
91,67010,63.0
92,33146,50.0
93,49329,31.0
94,53848,32.0
95,86269,32.0
96,92243,31.0
97,48434,16.0
98,33955,11.0
99,70964,5.0
100,4580,85.0
101,48566,102.0
102,70922,13.0
103,15479,27.0
104,50609,66.0
105,74854,12.0
106,81001,8.0
107,80583,9.0
108,26539,9.0
109,30789,25.0
110,42490,32.0
111,47340,
112,70595,12.0
113,6653,100.0
114,70113,33.0
115,94112,50.0
116,4442,85.0
117,83484,9.0
118,26546,102.0
119,47588,25.0
120,90228,47.0
121,41648,
122,45953,27.0
123,15037,12.0
124,19186,82.0
125,81235,28.0
126,7992,29.0
127,49427,36.0
128,84761,25.0
129,17033,27.0
130,14430,9.0
131,68592,7.0
132,84050,5.0
133,34457,27.0
134,59642,27.0
135,40930,9.0
136,19079,104.0
137,23918,47.0
138,37850,11.0
139,68991,7.0
140,58431,34.0
141,35981,29.0
142,73178,29.0
143,79848,8.0
144,66639,8.0
145,56774,29.0
146,79062,17.0
147,60535,32.0
148,65145,9.0
149,82044,71.0
150,4962,85.0
151,12620,14.0
152,18229,30.0
153,27605,30.0
154,52103,12.0
155,92411,8.0
156,20545,
157,74407,31.0
158,8343,
159,40212,27.0
160,71420,31.0
161,78152,7.0
162,93733,27.0
163,14195,89.0
164,34733,13.0
165,52003,66.0
166,10371,101.0
167,53043,27.0
168,92630,7.0
169,25921,97.0
170,35407,8.0
171,54239,3.0
172,80567,44.0
173,93422,25.0
174,58684,
175,61970,28.0
176,24881,102.0
177,38004,25.0
178,43425,25.0
179,48587,63.0
180,53990,12.0
181,81942,51.0
182,9878,
183,16058,8.0
184,56619,47.0
185,70996,8.0
186,63145,104.0
187,22606,9.0
188,31094,33.0
189,31678,14.0
190,36217,51.0
191,56098,27.0
192,63991,33.0
193,14922,44.0
194,79305,42.0
195,10612,104.0
196,65505,25.0
197,13930,114.0
198,31213,29.0
199,22863,11.0
200,73147,10.0
201,91246,26.0
202,27826,27.0
203,88972,27.0
204,29050,100.0
205,43606,9.0
206,80685,8.0
207,12502,66.0
208,42653,27.0
209,91826,7.0
210,23711,85.0
211,58793,27.0
212,62903,36.0
213,79724,24.0
214,30558,29.0
215,57452,16.0
216,77385,29.0
217,3849,100.0
218,16812,100.0
219,21198,124.0
220,88138,
221,91146,31.0
222,56673,29.0
223,89558,27.0
224,57408,
225,82106,30.0
226,87635,8.0
227,25408,14.0
228,35818,32.0
229,63058,33.0
230,15269,13.0
231,34602,28.0
232,82189,8.0
233,2743,104.0
234,18247,75.0
235,35716,20.0
236,78838,27.0
237,26367,29.0
238,49287,8.0
239,62392,33.0
240,25828,36.0
241,40242,30.0
242,59191,27.0
243,15471,7.0
244,22359,104.0
245,38042,9.0
246,42701,66.0
247,22575,102.0
248,68858,32.0
249,82882,27.0
250,26649,33.0
251,34891,29.0
252,47168,
253,81632,31.0
254,19147,87.0
255,67635,31.0
256,7436,87.0
257,944,35.0
258,29213,33.0
259,84110,24.0
260,41043,29.0
261,50595,32.0
262,29187,32.0
263,46637,5.0
264,92526,27.0
265,46496,29.0
266,42286,24.0
267,59477,32.0
268,9194,
269,12953,102.0
270,16076,25.0
271,22648,29.0
272,6783,70.0
273,19864,29.0
274,14408,
275,38347,75.0
276,68879,9.0
277,87715,9.0
278,19461,85.0
279,70861,29.0
280,75757,8.0
281,91638,100.0
282,30062,33.0
283,48007,9.0
284,35821,19.0
285,42547,65.0
286,13853,85.0
287,21722,27.0
288,32684,16.0
289,53101,7.0
290,69592,13.0
291,78121,27.0
292,19085,47.0
293,64933,15.0
294,4038,5.0
295,71453,8.0
296,9688,70.0
297,15319,15.0
298,39509,32.0
299,62689,34.0
300,63249,25.0
301,4343,11.0
302,8167,29.0
303,14897,16.0
304,37067,29.0
305,62847,28.0
306,51062,33.0
307,60262,5.0
308,87000,5.0
309,20827,29.0
310,26178,100.0
311,86977,31.0
312,30302,36.0
313,76970,29.0
314,21549,85.0
315,82879,7.0
316,10825,
317,982,100.0
318,7102,
319,21366,85.0
320,32180,7.0
321,53132,51.0
322,72634,29.0
323,39655,27.0
324,60692,71.0
325,380,90.0
326,38711,34.0
327,53099,13.0
328,29822,5.0
329,59660,10.0
330,4590,127.0
331,11654,28.0
332,72741,27.0
333,39127,13.0
334,8003,
335,11497,28.0
336,50583,13.0
337,85456,52.0
338,18360,90.0
339,37338,28.0
340,77270,47.0
341,75751,27.0
342,41118,29.0
343,60993,29.0
344,74737,4.0
345,79099,28.0
346,38656,67.0
347,94143,25.0
348,12753,33.0
349,58538,30.0
350,72529,12.0
351,92074,32.0
352,16257,89.0
353,92078,27.0
354,23568,29.0
355,72769,31.0
356,79814,31.0
357,47941,12.0
358,87623,8.0
359,47127,29.0
360,63224,67.0
361,77674,29.0
362,10135,31.0
363,36649,52.0
364,73077,25.0
365,85730,70.0
366,90032,28.0
367,13641,8.0
368,49964,
369,67279,5.0
370,30884,12.0
371,50046,29.0
372,60074,35.0
373,4803,
374,37058,9.0
375,1106,100.0
376,26950,38.0
377,46451,31.0
378,78783,8.0
379,82166,8.0
380,14858,90.0
381,11785,14.0
382,65937,8.0
383,5737,27.0
384,24680,102.0
385,36663,31.0
386,54460,15.0
387,61563,32.0
388,42693,32.0
389,80252,29.0
390,18772,85.0
391,78073,7.0
392,81875,30.0
393,89064,27.0
394,14534,68.0
395,56519,85.0
396,71040,29.0
397,86798,9.0
398,686,29.0
399,41958,6.0
400,91125,7.0
401,26886,31.0
402,49730,31.0
403,67278,27.0
404,17662,28.0
405,51650,31.0
406,18261,14.0
407,44137,25.0
408,56852,12.0
409,63208,7.0
410,70200,14.0
411,61906,8.0
412,41006,85.0
413,69720,9.0
414,48540,9.0
415,56115,8.0
416,65888,11.0
417,30650,14.0
418,16766,13.0
419,25275,31.0
420,2609,
421,9462,
422,13856,9.0
423,36698,
424,52060,27.0
425,60400,32.0
426,73492,23.0
427,13242,10.0
428,42034,5.0
429,8267,84.0
430,35949,6.0
431,61174,25.0
432,82963,28.0
433,4574,100.0
434,56134,27.0
435,59085,85.0
436,68322,27.0
437,1225,106.0
438,47331,7.0
439,63551,
440,17344,105.0
441,55689,32.0
442,4645,100.0
443,74015,66.0
444,83508,68.0
445,38334,51.0
446,53126,11.0
447,60234,28.0
448,28388,67.0
449,62633,11.0
450,28123,5.0
451,86608,29.0
452,25306,85.0
453,24009,28.0
454,69599,28.0
455,48379,16.0
456,58169,35.0
457,10575,
458,18825,
459,77479,29.0
460,52502,12.0
461,78516,
462,1101,108.0
463,34447,29.0
464,40241,9.0
465,67500,28.0
466,11888,89.0
467,81592,34.0
468,38478,5.0
469,70006,25.0
470,51908,28.0
471,65575,14.0
472,78928,31.0
473,7233,104.0
474,12996,29.0
475,17555,33.0
476,63083,13.0
477,80420,25.0
478,90031,8.0
479,3993,71.0
480,15865,28.0
481,44602,10.0
482,76020,27.0
483,80068,29.0
484,94210,33.0
485,56960,10.0
486,49675,13.0
487,53745,36.0
488,65081,28.0
489,41340,25.0
490,54535,
491,12018,
492,20688,29.0
493,46244,25.0
494,54173,8.0
495,69259,12.0
496,85292,3.0
497,91541,36.0
498,12507,124.0
499,78007,27.0
500,13672,97.0
501,66208,7.0
502,54256,8.0
503,7226,29.0
504,45520,29.0
505,52728,89.0
506,57654,71.0
507,65043,29.0
508,89304,6.0
509,4402,86.0
510,545,11.0
511,4716,94.0
512,50194,25.0
513,57914,11.0
514,61514,26.0
515,77189,20.0
516,91327,27.0
517,201,100.0
518,35244,65.0
519,11741,104.0
520,38336,24.0
521,53087,25.0
522,87015,27.0
523,29206,13.0
524,33059,5.0
525,75134,5.0
526,92071,10.0
527,2422,25.0
528,15338,12.0
529,21373,29.0
530,36378,9.0
531,79282,
